intent,pattern,response_type,is_master,response
standar_teknis_aplikasi_berbasis_web_proteksi_data,apa itu standar teknis aplikasi berbasis web proteksi data?|bagaimana prosedur standar teknis aplikasi berbasis web proteksi data?|apa syarat untuk standar teknis aplikasi berbasis web proteksi data?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web proteksi data?|berapa lama proses standar teknis aplikasi berbasis web proteksi data?|apakah standar teknis aplikasi berbasis web proteksi data bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web proteksi data dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web proteksi data?|bagaimana alur lengkap standar teknis aplikasi berbasis web proteksi data dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web proteksi data?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi proteksi data dilakukan dengan:\n  a. melakukan identifikasi dan penyimpanan salinan informasi yang dikecualikan;\n  b. melakukan pelindungan dari akses yang tidak sah terhadap informasi yang dikecualikan yang disimpan sementara dalam aplikasi;\n  c. melakukan pertukaran, penghapusan, dan audit informasi yang dikecualikan;\n  d. melakukan penentuan jumlah parameter;\n  e. memastikan data disimpan dengan aman;\n  f. menentukan metode untuk menghapus dan mengekspor data sesuai permintaan pengguna; dan\n  g. membersihkan memori setelah tidak diperlukan.""}"
standar_teknis_aplikasi_berbasis_web_keamanan_komunikasi,apa itu standar teknis aplikasi berbasis web keamanan komunikasi?|bagaimana prosedur standar teknis aplikasi berbasis web keamanan komunikasi?|apa syarat untuk standar teknis aplikasi berbasis web keamanan komunikasi?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web keamanan komunikasi?|berapa lama proses standar teknis aplikasi berbasis web keamanan komunikasi?|apakah standar teknis aplikasi berbasis web keamanan komunikasi bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web keamanan komunikasi dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web keamanan komunikasi?|bagaimana alur lengkap standar teknis aplikasi berbasis web keamanan komunikasi dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web keamanan komunikasi?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi keamanan komunikasi dilakukan dengan:\n  a. menggunakan komunikasi terenkripsi;\n  b. mengatur koneksi masuk dan keluar yang aman dan terenkripsi dari sisi pengguna;\n  c. mengatur jenis algoritma yang digunakan dan alat pengujiannya; dan\n  d. mengatur aktivasi dan konfigurasi sertifikat elektronik yang diterbitkan oleh penyelenggara sertifikasi elektronik.""}"
standar_teknis_aplikasi_berbasis_web_pengendalian_kode_berbahaya,apa itu standar teknis aplikasi berbasis web pengendalian kode berbahaya?|bagaimana prosedur standar teknis aplikasi berbasis web pengendalian kode berbahaya?|apa syarat untuk standar teknis aplikasi berbasis web pengendalian kode berbahaya?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web pengendalian kode berbahaya?|berapa lama proses standar teknis aplikasi berbasis web pengendalian kode berbahaya?|apakah standar teknis aplikasi berbasis web pengendalian kode berbahaya bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web pengendalian kode berbahaya dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web pengendalian kode berbahaya?|bagaimana alur lengkap standar teknis aplikasi berbasis web pengendalian kode berbahaya dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web pengendalian kode berbahaya?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi pengendalian kode berbahaya dilakukan dengan:\n  a. menggunakan analisis kode dalam kontrol kode berbahaya;\n  b. memastikan kode sumber aplikasi dan pustaka tidak mengandung kode berbahaya dan fungsionalitas lain yang tidak diinginkan;\n  c. mengatur izin terkait fitur atau sensor terkait privasi;\n  d. mengatur pelindungan integritas; dan\n  e. mengatur mekanisme fitur pembaruan.""}"
standar_teknis_aplikasi_berbasis_web_logika_bisnis,apa itu standar teknis aplikasi berbasis web logika bisnis?|bagaimana prosedur standar teknis aplikasi berbasis web logika bisnis?|apa syarat untuk standar teknis aplikasi berbasis web logika bisnis?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web logika bisnis?|berapa lama proses standar teknis aplikasi berbasis web logika bisnis?|apakah standar teknis aplikasi berbasis web logika bisnis bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web logika bisnis dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web logika bisnis?|bagaimana alur lengkap standar teknis aplikasi berbasis web logika bisnis dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web logika bisnis?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi logika bisnis dilakukan dengan:\n  a. memproses alur logika bisnis dalam urutan langkah dan waktu yang realistis;\n  b. memastikan logika bisnis memiliki batasan dan validasi;\n  c. memonitor aktivitas yang tidak biasa;\n  d. membantu dalam kontrol antiotomatisasi; dan\n  e. memberikan peringatan ketika terjadi serangan otomatis atau aktivitas yang tidak biasa.""}"
standar_teknis_aplikasi_berbasis_web_file,apa itu standar teknis aplikasi berbasis web file?|bagaimana prosedur standar teknis aplikasi berbasis web file?|apa syarat untuk standar teknis aplikasi berbasis web file?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web file?|berapa lama proses standar teknis aplikasi berbasis web file?|apakah standar teknis aplikasi berbasis web file bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web file dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web file?|bagaimana alur lengkap standar teknis aplikasi berbasis web file dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web file?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi file dilakukan dengan:\n  a. mengatur jumlah file untuk setiap pengguna dan kuota ukuran file yang diunggah;\n  b. melakukan validasi file sesuai dengan tipe konten yang diharapkan;\n  c. melakukan pelindungan terhadap metadata input dan metadata file;\n  d. melakukan pemindaian file yang diperoleh dari sumber yang tidak dipercaya; dan\n  e. melakukan konfigurasi server untuk mengunduh file sesuai ekstensi yang ditentukan.""}"
standar_teknis_aplikasi_berbasis_web_keamanan_api_dan_web_service,apa itu standar teknis aplikasi berbasis web keamanan API dan web service?|bagaimana prosedur standar teknis aplikasi berbasis web keamanan API dan web service?|apa syarat untuk standar teknis aplikasi berbasis web keamanan API dan web service?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web keamanan API dan web service?|berapa lama proses standar teknis aplikasi berbasis web keamanan API dan web service?|apakah standar teknis aplikasi berbasis web keamanan API dan web service bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web keamanan API dan web service dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web keamanan API dan web service?|bagaimana alur lengkap standar teknis aplikasi berbasis web keamanan API dan web service dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web keamanan API dan web service?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi keamanan API dan web service dilakukan dengan:\n  a. melakukan konfigurasi layanan web;\n  b. memverifikasi uniform resource identifier API tidak menampilkan informasi yang berpotensi sebagai celah keamanan;\n  c. membuat keputusan otorisasi;\n  d. menampilkan metode RESTful hypertext transfer protocol apabila input pengguna dinyatakan valid;\n  e. menggunakan validasi skema dan verifikasi sebelum menerima input;\n  f. menggunakan metode pelindungan layanan berbasis web; dan\n  g. menerapkan kontrol antiotomatisasi.""}"
standar_teknis_aplikasi_berbasis_web_keamanan_konfigurasi,apa itu standar teknis aplikasi berbasis web keamanan konfigurasi?|bagaimana prosedur standar teknis aplikasi berbasis web keamanan konfigurasi?|apa syarat untuk standar teknis aplikasi berbasis web keamanan konfigurasi?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web keamanan konfigurasi?|berapa lama proses standar teknis aplikasi berbasis web keamanan konfigurasi?|apakah standar teknis aplikasi berbasis web keamanan konfigurasi bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web keamanan konfigurasi dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web keamanan konfigurasi?|bagaimana alur lengkap standar teknis aplikasi berbasis web keamanan konfigurasi dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web keamanan konfigurasi?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi keamanan konfigurasi dilakukan dengan:\n  a. mengkonfigurasi server sesuai rekomendasi server aplikasi dan kerangka kerja aplikasi yang digunakan;\n  b. mendokumentasi, menyalin konfigurasi, dan semua dependensi;\n  c. menghapus fitur, dokumentasi, sampel, dan konfigurasi yang tidak diperlukan;\n  d. memvalidasi integritas aset jika aset aplikasi diakses secara eksternal; dan\n  e. menggunakan respon aplikasi dan konten yang aman.""}"
standar_teknis_aplikasi_berbasis_web_ketentuan_lain,apa itu standar teknis aplikasi berbasis web ketentuan lain?|bagaimana prosedur standar teknis aplikasi berbasis web ketentuan lain?|apa syarat untuk standar teknis aplikasi berbasis web ketentuan lain?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web ketentuan lain?|berapa lama proses standar teknis aplikasi berbasis web ketentuan lain?|apakah standar teknis aplikasi berbasis web ketentuan lain bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web ketentuan lain dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web ketentuan lain?|bagaimana alur lengkap standar teknis aplikasi berbasis web ketentuan lain dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web ketentuan lain?,kb,false,"{""type"": ""text"", ""body"": ""a. pembangunan dan pengembangan aplikasi pada saat dikembangkan menggunakan versi bahasa pemrograman dan/atau framework yang tidak memiliki kerentanan (common vulnerabilities and exposures);\n  b. menerapkan fungsi pengujian untuk membedakan apakah pengguna merupakan manusia atau robot pada laman autentikasi (login) atau laman publik yang terdapat form input interaksi pengguna dengan aplikasi;\n  c. menggunakan jenis basis data yang sesuai dan mampu menangani pertumbuhan jumlah baris data pada aplikasi dengan mempertimbangkan jumlah konkurensi dan jumlah pengguna aplikasi;\n  d. antar muka atau user interface aplikasi responsive;\n  e. tidak diperkenankan menyisipkan iklan komersial (adsense) pada aplikasi;\n  f. pengembang aplikasi menyediakan dokumen teknis aplikasi;\n  g. aplikasi yang dipublikasi ke internet harus menggunakan domain pemerintahan sesuai ketentuan peraturan perundang-undangan;\n  h. pengembang aplikasi web wajib menyerahkan kode sumber kepada instansi pemilik aplikasi dan/atau PD yang menyelenggarakan urusan pemerintahan di bidang komunikasi dan informatika; dan\n  i. dalam hal pengembangan aplikasi memerlukan akses ke data yang dimiliki oleh Pemerintah Kabupaten Tegal, pengembang wajib menjaga kerahasiaan data yang dituangkan dalam Non-Disclosure Agreement (NDA) antara pengembang dan pemilik data.""}"
standar_teknis_aplikasi_berbasis_mobile_penyimpanan_data_dan_persyaratan_privasi,apa itu standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi?|bagaimana prosedur standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi?|apa syarat untuk standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi?|berapa lama proses standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi?|apakah standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi?|bagaimana alur lengkap standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis mobile penyimpanan data dan persyaratan privasi?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi penyimpanan data dan persyaratan privasi dilakukan dengan:\n  a. menyimpan seluruh data dan informasi yang dikecualikan hanya dalam fasilitas penyimpanan kredensial sistem;\n  b. membatasi pertukaran data dan informasi yang dikecualikan dengan third party;\n  c. menonaktifkan cache keyboard pada saat memasukkan data dan informasi yang dikecualikan;\n  d. melindungi informasi yang dikecualikan saat terjadi inter process communication; dan\n  e. melindungi data dan informasi yang dikecualikan yang dimasukkan melalui antarmuka pengguna.""}"
standar_teknis_aplikasi_berbasis_mobile_kriptografi,apa itu standar teknis aplikasi berbasis mobile kriptografi?|bagaimana prosedur standar teknis aplikasi berbasis mobile kriptografi?|apa syarat untuk standar teknis aplikasi berbasis mobile kriptografi?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis mobile kriptografi?|berapa lama proses standar teknis aplikasi berbasis mobile kriptografi?|apakah standar teknis aplikasi berbasis mobile kriptografi bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis mobile kriptografi dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis mobile kriptografi?|bagaimana alur lengkap standar teknis aplikasi berbasis mobile kriptografi dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis mobile kriptografi?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi kriptografi dilakukan dengan:\n  a. menghindari penggunaan kriptografi simetrik dengan hardcoded key;\n  b. mengimplementasikan metode kriptografi yang sudah teruji sesuai kebutuhan;\n  c. menghindari penggunaan protokol kriptografi atau algoritma kriptografi yang obsolete;\n  d. menghindari penggunaan kunci kriptografi yang sama; dan\n  e. menggunakan pembangkit kunci acak yang memenuhi kriteria keacakan kunci.""}"
